gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ni,sale,costat
001004,2023-05-31,2022,INDL,C,D,STD,AIR,AAR CORP,USD,1833.1000,90.2000,1990.6000,A
001045,2023-12-31,2023,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,63058.0000,822.0000,52788.0000,A
001075,2023-12-31,2023,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,24661.1530,501.5570,4695.9910,A
001076,2023-12-31,2023,INDL,C,D,STD,PRG,PROG HOLDINGS INC,USD,1491.2550,138.8380,2408.2640,A
001078,2023-12-31,2023,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,73214.0000,5723.0000,40109.0000,A
001161,2023-12-31,2023,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,67885.0000,854.0000,22680.0000,A
001209,2023-09-30,2023,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,32002.5000,2300.2000,12600.0000,A
001230,2023-12-31,2023,INDL,C,D,STD,ALK,ALASKA AIR GROUP INC,USD,14613.0000,235.0000,10426.0000,A
001234,2023-12-31,2023,INDL,C,D,STD,ATRI,ATRION CORP,USD,260.8250,19.4110,169.3260,A
001254,2023-12-31,2023,INDL,C,D,STD,MATX,MATSON INC,USD,4294.6000,297.1000,3094.6000,A
001257,2023-12-31,2023,INDL,C,D,STD,ALX,ALEXANDER'S INC,USD,1403.6800,102.4130,224.9620,A
001266,2023-09-30,2023,INDL,C,D,STD,ALCO,ALICO INC,USD,428.3530,1.8350,39.8460,A
001300,2023-12-31,2023,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,61525.0000,5658.0000,36662.0000,A
001327,2023-09-30,2023,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,8426.7000,982.8000,4772.4000,A
001380,2023-12-31,2023,INDL,C,D,STD,HES,HESS CORP,USD,24007.0000,1382.0000,10511.0000,A
001393,2023-03-31,2022,INDL,C,D,STD,UHAL,U-HAUL HOLDING CO,USD,18124.6480,922.9980,5864.6910,A
001410,2023-10-31,2023,INDL,C,D,STD,ABM,ABM INDUSTRIES INC,USD,4933.7000,251.3000,8096.4000,A
001414,2023-12-31,2023,INDL,C,D,STD,PRI,PRIMERICA INC,USD,15027.7320,576.6010,2815.6790,A
001440,2023-12-31,2023,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,96684.0000,2208.1000,18982.3000,A
001447,2023-12-31,2023,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,261108.0000,8374.0000,67364.0000,A
001449,2023-12-31,2023,INDL,C,D,STD,AFL,AFLAC INC,USD,126724.0000,4659.0000,17729.0000,A
001487,2023-12-31,2023,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,539306.0000,3643.0000,46682.0000,A
001562,2023-04-30,2022,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,195.6200,10.4210,123.6590,A
001585,2023-12-31,2023,INDL,C,D,STD,AVD,AMERICAN VANGUARD CORP,USD,767.5480,7.5190,579.3710,A
001598,2023-12-31,2023,INDL,C,D,STD,AME,AMETEK INC,USD,15023.5330,1313.1880,6596.9500,A
001602,2023-12-31,2023,INDL,C,D,STD,AMGN,AMGEN INC,USD,97154.0000,6717.0000,28190.0000,A
001632,2023-10-31,2023,INDL,C,D,STD,ADI,ANALOG DEVICES INC,USD,48794.4780,3314.5790,12305.5390,A
001659,2023-12-31,2023,INDL,C,D,STD,ANDE,ANDERSONS INC,USD,3855.0070,101.1900,14750.1120,A
001661,2023-12-31,2023,INDL,C,D,STD,NBR,NABORS INDUSTRIES LTD,USD,5277.9650,-11.7840,3005.9810,A
001678,2023-12-31,2023,INDL,C,D,STD,APA,APA CORP,USD,15244.0000,2855.0000,8378.0000,A
001686,2023-02-28,2022,INDL,C,D,STD,APOG,APOGEE ENTERPRISES INC,USD,915.3650,104.1070,1440.6960,A
001690,2023-09-30,2023,INDL,C,D,STD,AAPL,APPLE INC,USD,352583.0000,96995.0000,383285.0000,A
001704,2023-10-31,2023,INDL,C,D,STD,AMAT,APPLIED MATERIALS INC,USD,30729.0000,6856.0000,26517.0000,A
001706,2023-08-31,2023,INDL,C,D,STD,EPAC,ENERPAC TOOL GROUP CORP,USD,762.5970,46.5610,598.2040,A
001722,2023-12-31,2023,INDL,C,D,STD,ADM,ARCHER-DANIELS-MIDLAND CO,USD,54631.0000,3483.0000,93935.0000,A
001743,2023-12-31,2023,INDL,C,D,STD,ARCB,ARCBEST CORP,USD,2485.0940,195.4330,4427.4430,A
001773,2023-12-31,2023,INDL,C,D,STD,ARW,ARROW ELECTRONICS INC,USD,21726.1680,903.5050,33107.1200,A
001794,2023-09-30,2023,INDL,C,D,STD,ASH,ASHLAND INC,USD,5939.0000,178.0000,2191.0000,A
001823,2023-12-31,2023,INDL,C,D,STD,ATRO,ASTRONICS CORP,USD,633.7920,-26.4210,689.2060,A
001864,2023-01-31,2022,INDL,C,D,STD,REX,REX AMERICAN RESOURCES CORP,USD,579.5790,27.6970,855.0000,A
001878,2023-01-31,2022,INDL,C,D,STD,ADSK,AUTODESK INC,USD,9438.0000,823.0000,5005.0000,A
001891,2023-06-30,2023,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,50971.0000,3412.0000,18012.2000,A
001913,2023-12-31,2023,INDL,C,D,STD,AVY,AVERY DENNISON CORP,USD,8209.8000,503.0000,8364.3000,A
001919,2023-06-30,2023,INDL,C,D,STD,AVT,AVNET INC,USD,12477.1590,770.8280,26536.8810,A
001926,2023-02-28,2022,INDL,C,D,STD,AZZ,AZZ INC,USD,2221.4790,-52.9740,1323.6490,A
001949,2023-12-31,2023,INDL,C,D,STD,BRT,BRT APARTMENTS CORP,USD,709.9630,3.8730,110.6540,A
001968,2023-12-31,2023,INDL,C,D,STD,BMI,BADGER METER INC,USD,716.9190,92.5980,703.5920,A
001979,2023-12-31,2023,INDL,C,D,STD,BCPC,BALCHEM CORP  -CL B,USD,1597.2110,108.5430,922.4390,A
002002,2023-12-31,2023,INDL,C,D,STD,BPOP,POPULAR INC,USD,70758.1550,541.3420,3896.0310,A
002005,2023-12-31,2023,INDL,C,D,STD,BOH,BANK OF HAWAII CORP,USD,23733.2960,171.2020,972.2840,A
002019,2023-12-31,2023,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,409953.0000,3286.0000,33805.0000,A
002049,2023-12-31,2023,INDL,C,D,STD,B,BARNES GROUP INC,USD,3308.0140,15.9960,1450.8710,A
002086,2023-12-31,2023,INDL,C,D,STD,BAX,BAXTER INTERNATIONAL INC,USD,28276.0000,2656.0000,14813.0000,A
002101,2023-06-30,2023,INDL,C,D,STD,AIT,APPLIED INDUSTRIAL TECH INC,USD,2743.3320,346.7390,4412.7940,A
002111,2023-09-30,2023,INDL,C,D,STD,BDX,BECTON DICKINSON & CO,USD,52780.0000,1484.0000,19372.0000,A
002124,2023-12-31,2023,INDL,C,D,STD,BELFB,BEL FUSE INC,USD,571.6310,73.8310,639.8130,A
002136,2023-12-31,2023,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,380255.0000,11614.0000,133974.0000,A
002184,2023-01-31,2022,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,15803.0000,1419.0000,46298.0000,A
002220,2023-12-31,2023,INDL,C,D,STD,BIO,BIO-RAD LABORATORIES INC,USD,12299.0700,-637.3240,2671.2620,A
002259,2023-12-31,2023,INDL,C,D,STD,BKH,BLACK HILLS CORP,USD,9620.4000,262.2000,2331.3000,A
002269,2023-06-30,2023,INDL,C,D,STD,HRB,BLOCK H & R INC,USD,3072.2580,553.7000,3472.1850,A
002285,2023-12-31,2023,INDL,C,D,STD,BA,BOEING CO,USD,137012.0000,-2222.0000,77794.0000,A
002312,2023-12-31,2023,INDL,C,D,STD,RHI,ROBERT HALF INC,USD,3010.7890,411.1460,6392.5170,A
002352,2023-07-31,2023,INDL,C,D,STD,BRC,BRADY CORP,USD,1389.2570,174.8570,1331.8630,A
002403,2023-12-31,2023,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,95159.0000,8025.0000,45006.0000,A
002436,2023-01-31,2022,INDL,C,D,STD,CAL,CALERES INC,USD,1836.4720,181.7420,2968.1380,A
002444,2023-12-31,2023,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,6230.5000,420.4000,6401.4000,A
002448,2023-12-31,2023,INDL,C,D,STD,MTRN,MATERION CORP,USD,1762.7260,95.7020,1665.1870,A
002497,2023-12-31,2023,INDL,C,D,STD,MTZ,MASTEC INC,USD,9373.5110,-49.9490,11995.9340,A
002504,2023-12-31,2023,INDL,C,D,STD,UIS,UNISYS CORP,USD,1965.4000,-430.7000,2015.4000,A
002536,2023-03-31,2022,INDL,C,D,STD,RAMP,LIVERAMP HOLDINGS INC,USD,1172.7030,-118.7020,596.5830,A
002547,2023-12-31,2023,INDL,C,D,STD,CI,CIGNA GROUP (THE),USD,152761.0000,5164.0000,195244.0000,A
002558,2023-12-31,2023,INDL,C,D,STD,CNA,CNA FINANCIAL CORP,USD,64711.0000,1205.0000,13125.0000,A
002574,2023-12-31,2023,INDL,C,D,STD,CSX,CSX CORP,USD,42408.0000,3715.0000,14657.0000,A
002577,2023-12-31,2023,INDL,C,D,STD,CTS,CTS CORP,USD,741.1670,60.5320,550.4220,A
002578,2023-12-31,2023,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,208.6990,-34.4220,145.3780,A
002593,2023-09-30,2023,INDL,C,D,STD,CBT,CABOT CORP,USD,3604.0000,445.0000,3931.0000,A
002596,2023-06-30,2023,INDL,C,D,STD,CACI,CACI INTL INC  -CL A,USD,6600.8080,384.7350,6702.5460,A
002615,2023-02-28,2022,INDL,C,D,STD,CAMP,CALAMP CORP,USD,380.1200,-32.4900,294.9490,A
002628,2023-12-31,2023,INDL,C,D,STD,CWT,CALIFORNIA WATER SERVICE GP,USD,4595.5330,51.9110,794.6320,A
002663,2023-07-31,2023,INDL,C,D,STD,CPB,CAMPBELL SOUP CO,USD,12058.0000,858.0000,9357.0000,A
002710,2023-02-28,2022,INDL,C,D,STD,STZ,CONSTELLATION BRANDS,USD,24662.3000,-71.0000,9452.6000,A
002751,2023-06-30,2023,INDL,C,D,STD,CAH,CARDINAL HEALTH INC,USD,43417.0000,261.0000,205012.0000,A
002771,2023-12-31,2023,INDL,C,D,STD,CSL,CARLISLE COS INC,USD,6620.0000,767.4000,4586.9000,A
002787,2023-06-30,2023,INDL,C,D,STD,CRS,CARPENTER TECHNOLOGY CORP,USD,3053.9000,56.4000,2550.3000,A
002807,2023-04-30,2022,INDL,C,D,STD,CASY,CASEYS GENERAL STORES INC,USD,5943.2700,446.6910,15094.4750,A
002817,2023-12-31,2023,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,87476.0000,10335.0000,67060.0000,A
002818,2023-01-31,2022,INDL,C,D,STD,CATO,CATO CORP  -CL A,USD,553.1400,0.0290,759.2600,A
002820,2023-03-31,2022,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,1307.9750,240.5540,2142.7130,A
002884,2023-12-31,2023,INDL,C,D,STD,LUMN,LUMEN TECHNOLOGIES INC,USD,34018.0000,-10298.0000,14557.0000,A
002960,2023-12-31,2023,INDL,C,D,STD,CHE,CHEMED CORP,USD,1668.0950,272.5090,2264.4170,A
002968,2023-12-31,2023,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,3875393.0000,49552.0000,236311.0000,A
002986,2023-12-31,2023,INDL,C,D,STD,CPK,CHESAPEAKE UTILITIES CORP,USD,3304.7040,87.2120,670.6040,A
002991,2023-12-31,2023,INDL,C,D,STD,CVX,CHEVRON CORP,USD,261632.0000,21369.0000,196913.0000,A
003007,2023-06-30,2023,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,2487.0000,102.6000,4133.2000,A
003026,2023-12-31,2023,INDL,C,D,STD,CHD,CHURCH & DWIGHT INC,USD,8569.2000,755.6000,5867.9000,A
003028,2023-12-31,2023,INDL,C,D,STD,CHDN,CHURCHILL DOWNS INC,USD,6955.5000,417.3000,2461.7000,A
003062,2023-05-31,2022,INDL,C,D,STD,CTAS,CINTAS CORP,USD,8546.3560,1348.0100,8815.7690,A
003105,2023-12-31,2023,INDL,C,D,STD,IHRT,IHEARTMEDIA INC,USD,6952.6110,-1102.6600,3751.0250,A
003107,2023-12-31,2023,INDL,C,D,STD,CLF,CLEVELAND-CLIFFS INC,USD,17537.0000,399.0000,21996.0000,A
003121,2023-06-30,2023,INDL,C,D,STD,CLX,CLOROX CO/DE,USD,5945.0000,149.0000,7389.0000,A
003138,2023-12-31,2023,INDL,C,D,STD,COKE,COCA COLA CONSOLIDATED INC,USD,4288.9420,408.3750,6653.8580,A
003144,2023-12-31,2023,INDL,C,D,STD,KO,COCA-COLA CO,USD,97703.0000,10714.0000,45754.0000,A
003153,2023-12-31,2023,INDL,C,D,STD,CDE,COEUR MINING INC,USD,2080.8480,-103.6120,821.2060,A
003158,2023-12-31,2023,INDL,C,D,STD,COHU,COHU INC,USD,1150.3520,28.1560,636.3220,A
003170,2023-12-31,2023,INDL,C,D,STD,CL,COLGATE-PALMOLIVE CO,USD,16393.0000,2300.0000,19457.0000,A
003221,2023-12-31,2023,INDL,C,D,STD,AON,AON PLC,USD,33959.0000,2564.0000,13376.0000,A
003226,2023-12-31,2023,INDL,C,D,STD,CMCSA,COMCAST CORP,USD,264811.0000,15388.0000,121572.0000,A
003231,2023-12-31,2023,INDL,C,D,STD,CMA,COMERICA INC,USD,85834.0000,881.0000,5253.0000,A
003238,2023-12-31,2023,INDL,C,D,STD,CBSH,COMMERCE BANCSHARES INC,USD,31701.0610,477.0600,1969.3210,A
003243,2023-12-31,2023,INDL,C,D,STD,C,CITIGROUP INC,USD,2411834.0000,9228.0000,155462.0000,A
003246,2023-08-31,2023,INDL,C,D,STD,CMC,COMMERCIAL METALS,USD,6639.0940,859.7600,8799.5330,A
003278,2023-12-31,2023,INDL,C,D,STD,CAR,AVIS BUDGET GROUP INC,USD,32569.0000,1632.0000,12008.0000,A
003336,2023-03-31,2022,INDL,C,D,STD,DXC,DXC TECHNOLOGY CO,USD,15845.0000,-568.0000,14430.0000,A
003358,2023-07-31,2023,INDL,C,D,STD,CMTL,COMTECH TELECOMMUN,USD,996.2370,-26.8990,549.9940,A
003362,2023-05-31,2022,INDL,C,D,STD,CAG,CONAGRA BRANDS INC,USD,22052.6000,683.6000,12277.0000,A
003382,2023-12-31,2023,INDL,C,D,STD,SSTK,SHUTTERSTOCK INC,USD,1036.0150,110.2690,874.5870,A
003413,2023-12-31,2023,INDL,C,D,STD,ED,CONSOLIDATED EDISON INC,USD,66331.0000,2519.0000,14663.0000,A
003424,2023-12-31,2023,INDL,C,D,STD,BH,BIGLARI HOLDINGS INC,USD,849.4220,54.9480,365.3180,A
003429,2023-12-31,2023,INDL,C,D,STD,CTO,CTO REALTY GROWTH INC,USD,989.6680,5.5300,109.1190,A
003439,2023-12-31,2023,INDL,C,D,STD,CMS,CMS ENERGY CORP,USD,33517.0000,887.0000,7462.0000,A
003504,2023-10-31,2023,INDL,C,D,STD,COO,COOPER COS INC (THE),USD,11658.9000,294.2000,3593.2000,A
003505,2023-12-31,2023,INDL,C,D,STD,TAP,MOLSON COORS BEVERAGE CO,USD,26375.1000,948.9000,11702.1000,A
003532,2023-12-31,2023,INDL,C,D,STD,GLW,CORNING INC,USD,28500.0000,581.0000,12588.0000,A
003562,2023-12-31,2023,INDL,C,D,STD,CUZ,COUSINS PROPERTIES INC,USD,7634.4740,82.9630,805.1730,A
003570,2023-07-31,2023,INDL,C,D,STD,CBRL,CRACKER BARREL OLD CTRY STOR,USD,2218.0940,99.0500,3442.8080,A
003580,2023-12-31,2023,INDL,C,D,STD,CR,CRANE CO,USD,2333.6000,255.9000,2086.4000,A
003592,2023-12-31,2023,INDL,C,D,STD,OMF,ONEMAIN HOLDINGS INC,USD,24294.0000,641.0000,5299.0000,A
003619,2023-12-31,2023,INDL,C,D,STD,CCK,CROWN HOLDINGS INC,USD,15034.0000,450.0000,12010.0000,A
003643,2023-12-31,2023,INDL,C,D,STD,CFR,CULLEN/FROST BANKERS INC,USD,50845.0380,597.9730,2646.2580,A
003650,2023-12-31,2023,INDL,C,D,STD,CMI,CUMMINS INC,USD,32005.0000,735.0000,34065.0000,A
003662,2023-12-31,2023,INDL,C,D,STD,CW,CURTISS-WRIGHT CORP,USD,4620.9690,354.5090,2845.3730,A
003708,2023-12-31,2023,INDL,C,D,STD,WEN,WENDY'S CO,USD,5182.8260,204.4400,2181.5780,A
003734,2023-12-31,2023,INDL,C,D,STD,DAN,DANA INC,USD,7965.0000,38.0000,10555.0000,A
003735,2023-12-31,2023,INDL,C,D,STD,DHR,DANAHER CORP,USD,84488.0000,4764.0000,23890.0000,A
003813,2023-01-31,2022,INDL,C,D,STD,TGT,TARGET CORP,USD,53335.0000,2780.0000,109120.0000,A
003835,2023-10-31,2023,INDL,C,D,STD,DE,DEERE & CO,USD,104087.0000,10166.0000,61251.0000,A
003851,2023-12-31,2023,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,73644.0000,4609.0000,58048.0000,A
003863,2023-12-31,2023,INDL,C,D,STD,DLX,DELUXE CORP,USD,3080.6220,26.1200,2192.2600,A
003897,2023-12-31,2023,INDL,C,D,STD,DTE,DTE ENERGY CO,USD,44755.0000,1397.0000,12745.0000,A
003905,2023-06-30,2023,INDL,C,D,STD,ATGE,ADTALEM GLOBAL EDUCATION INC,USD,2810.5410,93.3580,1450.8260,A
003946,2023-12-31,2023,INDL,C,D,STD,DBD,DIEBOLD NIXDORF INC,USD,4162.0000,1376.1000,3752.0000,A
003964,2023-01-31,2022,INDL,C,D,STD,DDS,DILLARDS INC  -CL A,USD,3329.1500,891.6370,6996.2150,A
003969,2023-12-31,2023,INDL,C,D,STD,DIOD,DIODES INC,USD,2367.6590,227.1820,1661.7390,A
003980,2023-09-30,2023,INDL,C,D,STD,DIS,DISNEY (WALT) CO,USD,205579.0000,2354.0000,88898.0000,A
004016,2023-01-31,2022,INDL,C,D,STD,DG,DOLLAR GENERAL CORP,USD,29083.3670,2415.9890,37844.8630,A
004029,2023-12-31,2023,INDL,C,D,STD,D,DOMINION ENERGY INC,USD,109032.0000,1994.0000,14393.0000,A
004036,2023-07-31,2023,INDL,C,D,STD,DCI,DONALDSON CO INC,USD,2770.5000,358.8000,3430.8000,A
004058,2023-12-31,2023,INDL,C,D,STD,DOV,DOVER CORP,USD,11348.5130,1056.8280,8438.1340,A
004060,2023-12-31,2023,INDL,C,D,STD,DD,DUPONT DE NEMOURS INC,USD,38552.0000,423.0000,12068.0000,A
004066,2023-12-31,2023,INDL,C,D,STD,OMC,OMNICOM GROUP INC,USD,28044.6000,1391.4000,14692.2000,A
004091,2023-12-31,2023,INDL,C,D,STD,DCO,DUCOMMUN INC,USD,1120.9190,15.9280,756.9920,A
004093,2023-12-31,2023,INDL,C,D,STD,DUK,DUKE ENERGY CORP,USD,176893.0000,2841.0000,29060.0000,A
004094,2023-12-31,2023,INDL,C,D,STD,DNB,DUN & BRADSTREET HOLDNGS INC,USD,9135.9000,-47.0000,2314.0000,A
004108,2023-12-31,2023,INDL,C,D,STD,FLS,FLOWSERVE CORP,USD,5108.7190,186.7430,4320.5770,A
004115,2023-01-31,2022,INDL,C,D,STD,DY,DYCOM INDUSTRIES INC,USD,2313.2540,142.2130,3808.4620,A
004186,2023-12-31,2023,INDL,C,D,STD,EML,EASTERN CO,USD,252.0390,8.5850,273.4550,A
004193,2023-12-31,2023,INDL,C,D,STD,EGP,EASTGROUP PROPERTIES,USD,4519.2130,200.4910,567.2830,A
004199,2023-12-31,2023,INDL,C,D,STD,ETN,EATON CORP PLC,USD,38432.0000,3218.0000,23196.0000,A
004213,2023-12-31,2023,INDL,C,D,STD,ECL,ECOLAB INC,USD,21846.6000,1372.3000,15320.2000,A
004321,2023-09-30,2023,INDL,C,D,STD,EMR,EMERSON ELECTRIC CO,USD,42746.0000,13219.0000,15165.0000,A
004383,2023-09-30,2023,INDL,C,D,STD,ATO,ATMOS ENERGY CORP,USD,22516.9680,885.8620,4275.3570,A
004390,2023-02-28,2022,INDL,C,D,STD,EBF,ENNIS INC,USD,393.8350,47.3000,431.8370,A
004418,2023-07-31,2023,INDL,C,D,STD,ENZ,ENZO BIOCHEM INC,USD,121.8800,20.2880,31.0610,A
004423,2023-12-31,2023,INDL,C,D,STD,EFX,EQUIFAX INC,USD,12280.0000,545.3000,5265.2000,A
004430,2023-12-31,2023,INDL,C,D,STD,EQT,EQT CORP,USD,25285.0980,1735.2320,6908.9230,A
004448,2023-12-31,2023,INDL,C,D,STD,ESCA,ESCALADE INC,USD,253.0050,9.8290,263.5660,A
004462,2023-12-31,2023,INDL,C,D,STD,NEU,NEWMARKET CORP,USD,2308.8710,388.8640,2698.4190,A
004494,2023-12-31,2023,INDL,C,D,STD,EXPD,EXPEDITORS INTL WASH INC,USD,4523.8090,752.8830,9300.1100,A
004497,2023-12-31,2023,INDL,C,D,STD,BOOM,DMC GLOBAL INC,USD,884.4950,26.2590,719.1880,A
004498,2023-09-30,2023,INDL,C,D,STD,IIIN,INSTEEL INDUSTRIES,USD,447.5130,32.4150,649.1880,A
004503,2023-12-31,2023,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,376317.0000,36010.0000,334697.0000,A
004510,2023-12-31,2023,INDL,C,D,STD,FMC,FMC CORP,USD,11926.2000,1321.5000,4486.8000,A
004517,2023-12-31,2023,INDL,C,D,STD,NEE,NEXTERA ENERGY INC,USD,177489.0000,7310.0000,28114.0000,A
004579,2023-06-30,2023,INDL,C,D,STD,FARM,FARMER BROS CO,USD,187.7810,-79.1800,339.9640,A
004598,2023-05-31,2022,INDL,C,D,STD,FDX,FEDEX CORP,USD,87143.0000,3972.0000,90155.0000,A
004605,2023-12-31,2023,INDL,C,D,STD,FRT,FEDERAL REALTY INVESTMENT TR,USD,8436.5120,236.9850,1140.7100,A
004608,2023-12-31,2023,INDL,C,D,STD,FSS,FEDERAL SIGNAL CORP,USD,1620.5000,157.4000,1722.7000,A
004611,2023-01-31,2022,INDL,C,D,STD,M,MACY'S INC,USD,16866.0000,1177.0000,25305.0000,A
004640,2023-12-31,2023,INDL,C,D,STD,FITB,FIFTH THIRD BANCORP,USD,214574.0000,2349.0000,12641.0000,A
004674,2023-12-31,2023,INDL,C,D,STD,RF,REGIONS FINANCIAL CORP,USD,152194.0000,2074.0000,9153.0000,A
004685,2023-12-31,2023,INDL,C,D,STD,TRMK,TRUSTMARK CORP,USD,18722.1890,165.4890,1085.7900,A
004690,2023-12-31,2023,INDL,C,D,STD,FCNCA,FIRST CITIZENS BANCSH  -CL A,USD,213758.0000,11466.0000,12658.0000,A
004699,2023-12-31,2023,INDL,C,D,STD,MTB,M & T BANK CORP,USD,208264.0000,2741.0000,12527.3620,A
004723,2023-12-31,2023,INDL,C,D,STD,USB,US BANCORP,USD,663491.0000,5429.0000,40764.0000,A
004737,2023-12-31,2023,INDL,C,D,STD,FHN,FIRST HORIZON CORP,USD,81661.0000,897.0000,4795.0000,A
004809,2023-12-31,2023,INDL,C,D,STD,FLO,FLOWERS FOODS INC,USD,3426.9530,123.4160,5090.8300,A
004818,2023-12-31,2023,INDL,C,D,STD,FLR,FLUOR CORP,USD,6973.0000,139.0000,15474.0000,A
004839,2023-12-31,2023,INDL,C,D,STD,F,FORD MOTOR CO,USD,273310.0000,4347.0000,176191.0000,A
004860,2023-12-31,2023,INDL,C,D,STD,FSTR,FOSTER (LB) CO,USD,313.2060,1.4640,545.7210,A
004881,2023-12-31,2023,INDL,C,D,STD,FELE,FRANKLIN ELECTRIC CO INC,USD,1728.1220,193.2720,2065.1330,A
004885,2023-09-30,2023,INDL,C,D,STD,BEN,FRANKLIN RESOURCES INC,USD,30121.2000,882.8000,7679.7000,A
004926,2023-11-30,2023,INDL,C,D,STD,FUL,FULLER (H. B.) CO,USD,4723.5750,144.9060,3510.9340,A
004941,2023-12-31,2023,INDL,C,D,STD,GATX,GATX CORP,USD,11326.0000,259.2000,1410.9000,A
004973,2023-12-31,2023,INDL,C,D,STD,AJG,ARTHUR J GALLAGHER & CO,USD,51615.8000,969.5000,10071.9000,A
004988,2023-12-31,2023,INDL,C,D,STD,TGNA,TEGNA INC,USD,7000.0570,476.7240,2910.9300,A
004990,2023-01-31,2022,INDL,C,D,STD,GPS,GAP INC,USD,11386.0000,-202.0000,15616.0000,A
005046,2023-12-31,2023,INDL,C,D,STD,GD,GENERAL DYNAMICS CORP,USD,54810.0000,3315.0000,42272.0000,A
005047,2023-12-31,2023,INDL,C,D,STD,GE,GE AEROSPACE,USD,163045.0000,9481.0000,67954.0000,A
005071,2023-05-31,2022,INDL,C,D,STD,GIS,GENERAL MILLS INC,USD,31451.7000,2593.9000,20094.2000,A
005072,2023-12-31,2023,INDL,C,D,STD,ALLY,ALLY FINANCIAL INC,USD,196392.0000,1020.0000,15967.0000,A
005073,2023-12-31,2023,INDL,C,D,STD,GM,GENERAL MOTORS CO,USD,273064.0000,10127.0000,171842.0000,A
005087,2023-12-31,2023,INDL,C,D,STD,SPXC,SPX TECHNOLOGIES INC,USD,2439.7000,89.9000,1741.2000,A
005109,2023-01-31,2022,INDL,C,D,STD,GCO,GENESCO INC,USD,1456.4260,71.9150,2384.8880,A
005116,2023-12-31,2023,INDL,C,D,STD,GNTX,GENTEX CORP,USD,2611.4380,428.4030,2294.2150,A
005125,2023-12-31,2023,INDL,C,D,STD,GPC,GENUINE PARTS CO,USD,17968.4540,1316.5240,23090.6100,A
005149,2023-12-31,2023,INDL,C,D,STD,GTY,GETTY REALTY CORP,USD,1822.3050,60.1510,186.4200,A
005179,2023-12-31,2023,INDL,C,D,STD,GLT,GLATFELTER CORP,USD,1563.7960,-79.0530,1385.5160,A
005234,2023-12-31,2023,INDL,C,D,STD,GT,GOODYEAR TIRE & RUBBER CO,USD,21582.0000,-689.0000,20066.0000,A
005237,2023-12-31,2023,INDL,C,D,STD,GRC,GORMAN-RUPP CO,USD,890.3580,34.9510,659.5110,A
005252,2023-12-31,2023,INDL,C,D,STD,GGG,GRACO INC,USD,2722.0070,506.5110,2195.6060,A
005254,2023-03-31,2022,INDL,C,D,STD,GHM,GRAHAM CORP,USD,203.9180,0.3670,157.1180,A
005256,2023-12-31,2023,INDL,C,D,STD,GWW,GRAINGER (W W) INC,USD,8147.0000,1829.0000,16478.0000,A
005284,2023-12-31,2023,INDL,C,D,STD,GTN,GRAY TELEVISION INC,USD,10640.0000,-76.0000,3281.0000,A
005338,2023-10-31,2023,INDL,C,D,STD,GEF,GREIF INC  -CL A,USD,5960.8000,359.2000,5218.6000,A
005439,2023-12-31,2023,INDL,C,D,STD,HAL,HALLIBURTON CO,USD,24683.0000,2638.0000,23018.0000,A
005492,2023-12-31,2023,INDL,C,D,STD,LHX,L3HARRIS TECHNOLOGIES INC,USD,41687.0000,1227.0000,19419.0000,A
005518,2023-12-31,2023,INDL,C,D,STD,HAS,HASBRO INC,USD,6540.9000,-1489.3000,5003.3000,A
005523,2023-12-31,2023,INDL,C,D,STD,HVT,HAVERTY FURNITURE,USD,654.1330,56.3190,862.1330,A
005526,2023-12-31,2023,INDL,C,D,STD,HE,HAWAIIAN ELECTRIC INDS,USD,17243.8210,201.1280,3682.1660,A
005530,2023-03-31,2022,INDL,C,D,STD,HWKN,HAWKINS INC,USD,590.5350,60.0410,935.0980,A
